time,variable,measurement
0,gravitational_energy,0
0,acoustic_energy,0
0,acoustic_kinetic_energy,0
0,elastic_energy,0
0,elastic_kinetic_energy,0
0,plastic_moment,0
0,total_frictional_work,0
0,static_frictional_work,0
0,seismic_moment,0
0,plastic_moment,0
1,gravitational_energy,0
1,acoustic_energy,0
1,acoustic_kinetic_energy,0
1,elastic_energy,2.45310e+15
1,elastic_kinetic_energy,1.20936e+15
1,plastic_moment,2.19256e+16
1,total_frictional_work,1.87470e+15
1,static_frictional_work,2.13419e+15
1,seismic_moment,3.50873e+18
1,plastic_moment,2.19256e+16
2,gravitational_energy,0
2,acoustic_energy,0
2,acoustic_kinetic_energy,0
2,elastic_energy,1.05457e+16
2,elastic_kinetic_energy,4.93966e+15
2,plastic_moment,2.10553e+17
2,total_frictional_work,8.07390e+15
2,static_frictional_work,8.84816e+15
2,seismic_moment,1.77102e+19
2,plastic_moment,2.10553e+17
